"","Simulation..","k...2","k...5","k...10"
"1",1,118292.788053061,122400.132737893,119684.627346668
"2",2,116785.834564055,123904.744931007,121406.963572379
"3",3,123431.552670621,123699.940770203,114427.339765869
"4",4,126874.786994186,125551.773743229,119666.090687167
"5",5,131778.104655708,117376.077071789,120741.534113375
"6",6,119485.081903772,115046.171777509,117934.746710733
"7",7,122240.60491299,116184.97969314,117785.851105674
"8",8,129521.017282787,118517.438134513,119161.770465468
"9",9,110956.450092344,116739.816139695,120786.373117804
"10",10,125789.069685979,118900.387430336,117210.189751728
"11",11,120161.674664814,121076.966349513,120426.267554407
"12",12,127155.937814672,119017.794776025,116745.800245879
"13",13,119958.261029775,116064.765357524,117569.71258204
"14",14,117314.42568194,119933.633870291,123484.63110526
"15",15,124388.251704598,120898.177789193,118756.977811333
"16",16,120236.703724176,123724.582678223,120210.483095587
"17",17,128972.079905856,125673.364220898,114637.107891639
"18",18,124443.519036745,121703.064246051,121026.978167395
"19",19,116374.733483777,121794.71271907,121977.666912293
"20",20,126505.413540009,117829.043938537,115184.479924735
"21",21,122267.026896898,116987.429415644,116737.229799344
"22",22,128336.021487082,118009.748819837,117922.465583994
"23",23,123531.393659508,123590.238687994,119796.552928839
"24",24,116104.617295753,124541.85270473,122360.830901734
"25",25,124717.481177135,115773.028571523,120894.73423622
"26",26,125133.947675008,123326.849126688,115955.085592845
"27",27,123774.533531928,125583.828978946,118309.154843402
"28",28,124946.539368938,117891.306139951,115870.04844675
"29",29,127160.13965331,118108.035855411,116996.661310627
"30",30,114500.127096815,116893.722803195,122783.938503562
